event_id,origintime,magnitude,magnitude_source,max_mmi,latitude,longitude,depth_km,err_lat,err_lon,err_depth,err_origintime,state,county,status
5351,2019-02-01 00:27:48,1.2,OGS,None,36.65033333,-99.12233333,7.23,0.35,0.35,1.1,None,Oklahoma,Woodward,Reviewed
5320,2019-02-01 09:03:26,2.7,OGS,None,34.94616667,-97.32016667,4.1,0.28,0.28,0.7,None,Oklahoma,Cleveland,Reviewed
5323,2019-02-01 09:56:49,2.3,OGS,None,36.47483333,-98.193,7.22,0.14,0.14,0.4,None,Oklahoma,Alfalfa,Reviewed
5326,2019-02-01 11:11:45,1.9,OGS,None,36.42,-97.09266667,6.77,0.28,0.28,0.5,None,Oklahoma,Noble,Reviewed
5329,2019-02-01 12:19:44,2.1,OGS,None,35.53716667,-96.74933333,7.19,0.14,0.14,0.4,None,Oklahoma,Lincoln,Reviewed
5346,2019-02-01 12:20:20,2.5,OGS,None,37.0855,-98.39133333,7.65,0.21,0.21,1.0,None,Kansas,Barber,Preliminary
5332,2019-02-01 12:28:21,1.8,OGS,None,36.43866667,-96.903,2.38,0.14,0.14,1.5,None,Oklahoma,Pawnee,Reviewed
5335,2019-02-01 15:25:51,2.1,OGS,None,36.4385,-96.9045,2.14,0.14,0.14,2.5,None,Oklahoma,Pawnee,Reviewed
5343,2019-02-01 15:25:55,1.8,OGS,None,36.43166667,-96.90383333,5.09,0.35,0.35,1.0,None,Oklahoma,Pawnee,Reviewed
5344,2019-02-01 15:27:03,2.1,OGS,None,36.4335,-96.9025,3.75,0.21,0.21,0.9,None,Oklahoma,Pawnee,Reviewed
5349,2019-02-01 18:33:14,2.1,OGS,None,35.8305,-98.251,7.36,0.28,0.28,0.8,None,Oklahoma,Blaine,Reviewed
5354,2019-02-01 20:59:36,2.2,OGS,None,36.43366667,-96.9055,3.99,0.14,0.14,0.7,None,Oklahoma,Pawnee,Reviewed
5428,2019-02-01 21:59:40,1.8,OGS,None,36.4345,-96.91183333,1.77,0.14,0.14,3.0,None,Oklahoma,Pawnee,Reviewed
5430,2019-02-01 23:36:31,0.7,OGS,None,36.44583333,-98.8045,2.49,1.06,1.06,1.3,None,Oklahoma,Major,Reviewed
5395,2019-02-02 02:25:40,2.3,OGS,None,36.42266667,-96.94066667,5.9,0.14,0.14,0.3,None,Oklahoma,Pawnee,Reviewed
5398,2019-02-02 02:57:13,1.8,OGS,None,36.43433333,-96.90366667,6.0,0.28,0.28,0.4,None,Oklahoma,Pawnee,Reviewed
5404,2019-02-02 06:47:16,1.7,OGS,None,36.426,-96.93866667,2.97,0.21,0.21,0.9,None,Oklahoma,Pawnee,Reviewed
5413,2019-02-02 07:18:19,1.8,OGS,None,36.40366667,-96.9515,5.82,0.21,0.21,0.4,None,Oklahoma,Pawnee,Reviewed
5432,2019-02-02 07:28:29,1.1,OGS,None,35.25766667,-97.87583333,11.85,0.21,0.21,0.3,None,Oklahoma,Grady,Reviewed
5434,2019-02-02 07:53:19,1.2,OGS,None,36.41633333,-96.89833333,4.98,0.21,0.21,0.6,None,Oklahoma,Pawnee,Reviewed
5410,2019-02-02 11:51:36,2.9,OGS,None,36.15631104,-98.28287506,3.89,0.74,0.75,1.03,0.15051055,Oklahoma,Blaine,Reviewed
